"date","close_amt","moving_average_close","open_amt","moving_average_open","low_amt","moving_average_low","high_amt","moving_average_high"
"2019-08-30","27427.85","27649.530000000000","27407.9","27799.455000000000","27121.95","27400.520000000000","27586.5","27935.460000000000"
"2019-09-03","26824.15","27513.335000000000","27239.2","27690.250000000000","26742.6","27260.130000000000","27247.05","27813.275000000000"
"2019-09-04","27123.85","27427.475000000000","26785.95","27552.490000000000","26641.35","27140.300000000000","27278.7","27719.605000000000"
"2019-09-05","26919.7","27347.540000000000","27086.95","27459.085000000000","26815.4","27055.220000000000","27243.95","27634.110000000000"
"2019-09-06","27247.9","27368.910000000000","26986.5","27388.730000000000","26950.55","27052.720000000000","27311.05","27596.210000000000"
"2019-09-09","27504.65","27423.510000000000","27240.35","27429.230000000000","26993.9","27096.050000000000","27565.55","27632.035000000000"
"2019-09-11","27776.2","27405.995000000000","27639.05","27426.740000000000","27551.65","27165.280000000000","27829.65","27615.475000000000"
"2019-09-12","27818.5","27375.230000000000","27870.8","27403.190000000000","27764.7","27145.670000000000","28062.3","27593.935000000000"
"2019-09-13","28098.75","27404.675000000000","27772","27372.365000000000","27573.45","27139.550000000000","28126.85","27597.065000000000"
"2019-09-16","27855","27459.655000000000","27868","27389.670000000000","27798.85","27195.440000000000","28066.7","27631.830000000000"
"2019-09-17","27131.75","27430.045000000000","27765.1","27425.390000000000","27047.95","27188.040000000000","27851.4","27658.320000000000"
"2019-09-18","27172.65","27464.895000000000","27304.7","27431.940000000000","27088.8","27222.660000000000","27414.45","27675.060000000000"
"2019-09-19","26757.65","27428.275000000000","27175.45","27470.890000000000","26643","27222.825000000000","27175.45","27664.735000000000"
"2019-09-20","28981.55","27634.460000000000","26878.65","27450.060000000000","26727.55","27214.040000000000","29418.95","27882.235000000000"
"2019-09-23","30566.2","27966.290000000000","30039.4","27755.350000000000","29776.3","27496.615000000000","30801.3","28231.260000000000"
"2019-09-24","30183.1","28234.135000000000","30432","28074.515000000000","29889.55","27786.180000000000","30668.1","28541.515000000000"
"2019-09-25","29586.05","28415.120000000000","30029.05","28313.515000000000","29470.1","27978.025000000000","30067.6","28765.310000000000"
"2019-09-26","30002.6","28633.530000000000","29640.55","28490.490000000000","29627","28164.255000000000","30718.35","29030.915000000000"
"2019-09-27","29876.65","28811.320000000000","29974.95","28710.785000000000","29711.35","28378.045000000000","30112.65","29229.495000000000"
"2019-09-30","29103.15","28936.135000000000","29674.8","28891.465000000000","28943.45","28492.505000000000","29754.4","29398.265000000000"
"2019-10-01","28725.5","29095.510000000000","29226.15","29037.570000000000","28077.35","28595.445000000000","29526.4","29565.765000000000"
"2019-10-03","28414.1","29219.655000000000","28606.7","29167.770000000000","28240.8","28710.645000000000","28769.1","29701.230000000000"
"2019-10-04","27731.85","29317.075000000000","28681.9","29318.415000000000","27653.7","28811.715000000000","28730.3","29856.715000000000"
"2019-10-07","27767.55","29195.675000000000","27909.9","29421.540000000000","27568.35","28895.795000000000","28185.15","29733.335000000000"
"2019-10-09","28785.85","29017.640000000000","27901.65","29207.765000000000","27702.05","28688.370000000000","28857.7","29538.975000000000"
"2019-10-10","28013.45","28800.675000000000","28542.95","29018.860000000000","27914.15","28490.830000000000","28552.75","29327.440000000000"
"2019-10-11","28042.5","28646.320000000000","28245.55","28840.510000000000","27736.8","28317.500000000000","28604.05","29181.085000000000"
"2019-10-14","28181.95","28464.255000000000","28238.5","28700.305000000000","28043.25","28159.125000000000","28553.4","28964.590000000000"
"2019-10-15","28555.1","28332.100000000000","28257.85","28528.595000000000","28186.25","28006.615000000000","28694.85","28822.810000000000"
"2019-10-16","28538.8","28275.665000000000","28689.45","28430.060000000000","28305.4","27942.810000000000","28759.35","28723.305000000000"
"2019-10-17","28989.45","28302.060000000000","28596.35","28367.080000000000","28487.95","27983.870000000000","29049.05","28675.570000000000"
"2019-10-18","29120.25","28372.675000000000","28954.8","28401.890000000000","28864.1","28046.200000000000","29249.5","28723.610000000000"
"2019-10-22","29411.15","28540.605000000000","29416.25","28475.325000000000","29231.2","28203.950000000000","29690","28819.580000000000"
"2019-10-23","29459.6","28709.810000000000","29478.85","28632.220000000000","29214.05","28368.520000000000","29643.8","28965.445000000000"
"2019-10-24","29107.95","28742.020000000000","29604.35","28802.490000000000","28994.2","28497.735000000000","29693.25","29049.000000000000"
"2019-10-25","29395.95","28880.270000000000","29228.65","28871.060000000000","28923.8","28598.700000000000","29452.1","29138.935000000000"
"2019-10-27","29516.3","29027.650000000000","29605.4","29007.045000000000","29446.8","28769.700000000000","29644.45","29242.975000000000"
"2019-10-29","29873.05","29196.760000000000","29527.6","29135.955000000000","29385.45","28903.920000000000","29997.65","29387.400000000000"
"2019-10-30","29987.5","29340.000000000000","30005.7","29310.740000000000","29753","29060.595000000000","30151.1","29533.025000000000"
"2019-10-31","30066.25","29492.745000000000","30168.65","29458.660000000000","29987.15","29228.770000000000","30415.65","29698.655000000000"
"2019-11-01","30330.55","29626.855000000000","30196.15","29618.640000000000","30028.9","29382.865000000000","30409","29834.650000000000"
"2019-11-04","30333.1","29748.140000000000","30415.9","29764.750000000000","30227.25","29519.180000000000","30607.05","29970.405000000000"
"2019-11-05","30219.85","29829.010000000000","30403.25","29863.450000000000","30091.35","29605.195000000000","30452.7","30046.675000000000"
"2019-11-06","30609.6","29944.010000000000","30225.2","29938.085000000000","30013.65","29685.155000000000","30699","30152.195000000000"
"2019-11-07","30633.15","30096.530000000000","30722.6","30049.910000000000","30462.55","29831.990000000000","30821.35","30265.005000000000"
"2019-11-08","30749.4","30231.875000000000","30571.3","30184.175000000000","30504.05","29990.015000000000","31108.4","30430.635000000000"
"2019-11-11","31115.55","30391.800000000000","30664.65","30290.100000000000","30625.8","30107.915000000000","31205.2","30586.710000000000"
"2019-11-13","30541.55","30458.650000000000","31084.75","30445.815000000000","30488.1","30218.180000000000","31198.5","30706.795000000000"
"2019-11-14","30749.95","30534.895000000000","30615.8","30506.825000000000","30338.35","30276.715000000000","30789.2","30770.605000000000"
"2019-11-15","31008.4","30629.110000000000","30912.4","30581.200000000000","30860.7","30364.070000000000","31165.45","30845.585000000000"
"2019-11-18","30992.1","30695.265000000000","31036.8","30665.265000000000","30901.85","30451.365000000000","31203.55","30925.040000000000"
"2019-11-19","31236.25","30785.580000000000","31045.15","30728.190000000000","30974.3","30526.070000000000","31298.05","30994.140000000000"
